County,Heat,Wet Bulb,Farm Crop Yields,Sea Level Rise,Very Large Fires,Economic Damages
"Jersey County, IL",4,4,6,1,1,5,
"Jo Daviess County, IL",3,4,3,1,1,4,
"Johnson County, IL",6,6,8,1,1,5,
"Kane County, IL",4,5,3,1,1,4,
"Kankakee County, IL",4,7,4,1,1,4,
"Kendall County, IL",4,7,4,1,1,4,
"Knox County, IL",4,5,4,1,1,4,
"Lake County, IL",4,5,3,1,1,4,
"LaSalle County, IL",4,6,4,1,1,4,
"Lawrence County, IL",6,7,5,1,1,5,
"Lee County, IL",3,4,3,1,1,4,
"Livingston County, IL",4,6,4,1,1,4,
"Logan County, IL",4,7,4,1,1,5,
"McDonough County, IL",4,4,4,1,1,4,
"McHenry County, IL",4,5,4,1,1,4,
"McLean County, IL",4,5,4,1,1,5,
"Macon County, IL",6,7,5,1,1,5,
"Macoupin County, IL",4,5,5,1,1,5,
"Madison County, IL",7,6,6,1,1,5,
"Marion County, IL",4,6,5,1,1,5,
"Marshall County, IL",4,7,4,1,1,5,
"Mason County, IL",4,5,5,1,1,5,
"Massac County, IL",4,7,8,1,1,5,
"Menard County, IL",4,6,4,1,1,5,
"Mercer County, IL",4,4,4,1,1,5,
"Monroe County, IL",6,5,7,1,1,5,
"Montgomery County, IL",6,7,5,1,1,5,
"Morgan County, IL",4,5,5,1,1,5,
"Moultrie County, IL",4,6,4,1,1,5,
"Ogle County, IL",3,5,3,1,1,4,
"Peoria County, IL",4,6,4,1,1,5,
"Perry County, IL",6,6,6,1,1,5,
"Piatt County, IL",4,7,4,1,1,5,
"Pike County, IL",6,5,6,1,1,5,
"Pope County, IL",6,7,8,1,1,5,
"Pulaski County, IL",6,7,8,1,1,5,
"Putnam County, IL",4,7,4,1,1,5,
"Randolph County, IL",6,6,7,1,1,5,
"Richland County, IL",4,6,5,1,1,5,
"Rock Island County, IL",4,5,4,1,1,4,
"St. Clair County, IL",7,6,7,1,1,5,
"Saline County, IL",6,7,7,1,1,5,
"Sangamon County, IL",4,6,5,1,1,5,
"Schuyler County, IL",4,4,5,1,1,5,
"Scott County, IL",4,4,5,1,1,5,
"Shelby County, IL",4,6,4,1,1,5,
"Stark County, IL",4,5,4,1,1,5,
"Stephenson County, IL",4,5,3,1,1,4,
"Tazewell County, IL",4,6,4,1,1,5,
"Union County, IL",6,7,8,1,1,5,
"Vermilion County, IL",4,6,4,1,1,5,
"Wabash County, IL",4,7,5,1,1,5,
"Warren County, IL",4,5,4,1,1,5,
"Washington County, IL",4,6,5,1,1,5,
"Wayne County, IL",6,6,5,1,1,5,
"White County, IL",6,9,6,1,1,5,
"Whiteside County, IL",4,6,4,1,1,4,
"Will County, IL",4,7,3,1,1,4,
"Williamson County, IL",6,6,7,1,1,5,
"Winnebago County, IL",4,5,3,1,1,4,
"Woodford County, IL",4,6,4,1,1,5,
"Adams County, IN",4,5,3,1,1,5,
"Allen County, IN",4,4,3,1,1,5,
"Bartholomew County, IN",4,5,4,1,1,5,
"Benton County, IN",4,6,3,1,1,5,
"Blackford County, IN",4,4,3,1,1,5,
"Boone County, IN",4,5,3,1,1,5,
"Brown County, IN",4,5,3,1,1,6,
"Carroll County, IN",4,5,3,1,1,5,
"Cass County, IN",4,5,3,1,1,5,
"Clark County, IN",6,7,4,1,1,5,
"Clay County, IN",4,5,4,1,1,5,
"Clinton County, IN",4,5,3,1,1,5,
"Crawford County, IN",4,5,5,1,1,6,
"Daviess County, IN",4,6,5,1,1,5,
"Dearborn County, IN",4,6,3,1,1,5,
"Decatur County, IN",4,6,3,1,1,5,
"DeKalb County, IN",3,4,3,1,1,5,
"Delaware County, IN",4,4,3,1,1,5,
"Dubois County, IN",4,6,5,1,1,5,
"Elkhart County, IN",3,5,3,1,1,5,
"Fayette County, IN",4,6,3,1,1,5,
"Floyd County, IN",6,9,4,1,1,5,
"Fountain County, IN",4,7,4,1,1,5,
"Franklin County, IN",4,5,3,1,1,5,
"Fulton County, IN",3,5,3,1,1,5,
"Gibson County, IN",6,7,5,1,1,5,
"Grant County, IN",4,5,3,1,1,5,
"Greene County, IN",4,5,4,1,1,6,
"Hamilton County, IN",4,5,3,1,1,5,
"Hancock County, IN",4,5,3,1,1,5,
"Harrison County, IN",6,9,5,1,1,5,
"Hendricks County, IN",4,6,3,1,1,5,
"Henry County, IN",3,2,3,1,1,5,
"Howard County, IN",4,5,3,1,1,5,
"Huntington County, IN",4,5,3,1,1,5,
"Jackson County, IN",4,5,4,1,1,5,
"Jasper County, IN",4,7,3,1,1,5,
"Jay County, IN",4,4,3,1,1,5,
"Jefferson County, IN",6,7,3,1,1,5,
"Jennings County, IN",4,5,3,1,1,5,
"Johnson County, IN",4,5,3,1,1,5,
"Knox County, IN",6,7,5,1,1,5,
"Kosciusko County, IN",3,4,3,1,1,5,
"LaGrange County, IN",4,4,3,1,1,5,
"Lake County, IN",4,6,3,1,1,5,
"LaPorte County, IN",3,6,3,1,1,5,
"Lawrence County, IN",4,5,4,1,1,5,
"Madison County, IN",4,5,3,1,1,5,
"Marion County, IN",4,5,3,1,1,5,
"Marshall County, IN",3,5,3,1,1,5,
"Martin County, IN",4,6,5,1,1,5,
"Miami County, IN",4,5,3,1,1,5,
"Monroe County, IN",4,7,3,1,1,5,
"Montgomery County, IN",4,6,3,1,1,5,
"Morgan County, IN",4,5,4,1,1,5,
"Newton County, IN",4,6,3,1,1,5,
"Noble County, IN",3,4,3,1,1,5,
"Ohio County, IN",4,6,4,1,1,6,
"Orange County, IN",4,6,4,1,1,5,
"Owen County, IN",4,5,4,1,1,5,
"Parke County, IN",4,5,4,1,1,5,
"Perry County, IN",6,9,5,1,1,5,
"Pike County, IN",6,7,5,1,1,5,
"Porter County, IN",4,6,3,1,1,5,
"Posey County, IN",6,7,6,1,1,5,
"Pulaski County, IN",3,5,3,1,1,5,
"Putnam County, IN",4,4,4,1,1,5,
"Randolph County, IN",3,2,3,1,1,5,
"Ripley County, IN",4,6,3,1,1,5,
"Rush County, IN",4,5,3,1,1,5,
"St. Joseph County, IN",3,5,3,1,1,5,
"Scott County, IN",4,5,3,1,1,5,
"Shelby County, IN",4,5,3,1,1,5,
"Spencer County, IN",6,7,6,1,1,5,
"Starke County, IN",3,6,3,1,1,5,
"Steuben County, IN",3,4,3,1,1,5,
"Sullivan County, IN",4,6,5,1,1,5,
"Switzerland County, IN",6,7,3,1,1,5,
"Tippecanoe County, IN",4,6,3,1,1,5,
"Tipton County, IN",4,5,3,1,1,5,
"Union County, IN",4,5,3,1,1,5,
"Vanderburgh County, IN",6,7,6,1,1,5,
"Vermillion County, IN",4,6,4,1,1,5,
"Vigo County, IN",4,7,4,1,1,5,
"Wabash County, IN",4,5,3,1,1,5,
"Warren County, IN",4,7,4,1,1,5,
"Warrick County, IN",6,7,6,1,1,5,
"Washington County, IN",4,6,4,1,1,5,
"Wayne County, IN",4,2,3,1,1,5,
"Wells County, IN",4,5,3,1,1,5,
"White County, IN",4,5,3,1,1,5,
"Whitley County, IN",3,4,3,1,1,5,
"Adair County, IA",4,2,4,1,1,5,
"Adams County, IA",4,2,4,1,1,5,
"Allamakee County, IA",3,2,3,1,1,4,
"Appanoose County, IA",4,4,4,1,2,5,
"Audubon County, IA",4,4,4,1,1,5,
"Benton County, IA",4,4,3,1,1,5,
"Black Hawk County, IA",4,6,3,1,1,4,
"Boone County, IA",4,4,4,1,1,5,
"Bremer County, IA",4,6,3,1,1,4,
"Buchanan County, IA",3,5,3,1,1,4,
"Buena Vista County, IA",3,5,3,1,1,4,
"Butler County, IA",3,5,3,1,1,4,
"Calhoun County, IA",4,5,4,1,1,5,
"Carroll County, IA",4,4,4,1,1,5,
"Cass County, IA",4,2,4,1,1,4,
"Cedar County, IA",4,5,3,1,1,5,
"Cerro Gordo County, IA",4,5,3,1,1,4,
"Cherokee County, IA",4,4,3,1,1,4,
"Chickasaw County, IA",3,4,3,1,1,4,
"Clarke County, IA",4,1,4,1,2,5,
"Clay County, IA",4,5,3,1,1,4,
"Clayton County, IA",4,4,3,1,1,4,
"Clinton County, IA",3,4,3,1,2,5,
"Crawford County, IA",4,4,4,1,1,5,
"Dallas County, IA",4,4,4,1,1,5,
"Davis County, IA",4,4,5,1,2,5,
"Decatur County, IA",4,4,4,1,2,5,
"Delaware County, IA",3,5,3,1,1,4,
"Des Moines County, IA",4,5,4,1,1,4,
"Dickinson County, IA",4,1,3,1,1,4,
"Dubuque County, IA",3,4,3,1,1,4,
"Emmet County, IA",3,4,3,1,1,4,
"Fayette County, IA",3,4,3,1,1,4,
"Floyd County, IA",3,4,3,1,1,4,
"Franklin County, IA",4,5,3,1,1,4,
"Fremont County, IA",4,2,5,1,1,5,
"Greene County, IA",4,4,4,1,1,5,
"Grundy County, IA",4,5,3,1,1,4,
"Guthrie County, IA",4,2,4,1,1,5,
"Hamilton County, IA",4,5,3,1,1,5,
"Hancock County, IA",3,5,3,1,1,4,
"Hardin County, IA",4,5,3,1,1,4,
"Harrison County, IA",4,2,5,1,1,5,
"Henry County, IA",4,4,4,1,2,5,
"Howard County, IA",3,4,3,1,1,4,
"Humboldt County, IA",4,5,3,1,1,5,
"Ida County, IA",4,4,4,1,1,5,
"Iowa County, IA",4,4,3,1,1,5,
"Jackson County, IA",4,4,3,1,2,4,
"Jasper County, IA",4,5,4,1,1,5,
"Jefferson County, IA",4,6,5,1,2,4,
"Johnson County, IA",4,4,4,1,1,5,
"Jones County, IA",4,4,3,1,1,4,
"Keokuk County, IA",4,4,4,1,1,5,
"Kossuth County, IA",3,5,3,1,1,4,
"Lee County, IA",4,5,5,1,1,5,
"Linn County, IA",4,4,3,1,1,4,
"Louisa County, IA",4,5,4,1,1,5,
"Lucas County, IA",4,4,4,1,2,5,
"Lyon County, IA",4,2,3,1,1,4,
"Madison County, IA",4,2,4,1,1,5,
"Mahaska County, IA",4,4,4,1,1,5,
"Marion County, IA",4,4,4,1,1,5,
"Marshall County, IA",4,5,3,1,1,4,
"Mills County, IA",4,2,5,1,1,5,
"Mitchell County, IA",3,5,3,1,1,4,
"Monona County, IA",4,2,4,1,1,5,
"Monroe County, IA",4,4,4,1,2,5,
"Montgomery County, IA",4,2,4,1,1,5,
"Muscatine County, IA",4,6,4,1,1,5,
"O'Brien County, IA",4,2,3,1,1,4,
"Osceola County, IA",4,2,3,1,1,4,
"Page County, IA",4,2,5,1,1,5,
"Palo Alto County, IA",3,4,3,1,1,4,
"Plymouth County, IA",4,2,4,1,1,5,
"Pocahontas County, IA",4,5,3,1,1,5,
"Polk County, IA",4,5,4,1,1,5,
"Pottawattamie County, IA",6,2,5,1,1,5,
"Poweshiek County, IA",4,4,3,1,1,4,
"Ringgold County, IA",4,2,4,1,1,5,
"Sac County, IA",4,4,3,1,1,5,
"Scott County, IA",4,5,4,1,1,4,
"Shelby County, IA",4,4,4,1,1,5,
"Sioux County, IA",4,4,4,1,1,4,
"Story County, IA",4,5,4,1,1,4,
"Tama County, IA",4,5,3,1,1,4,
"Taylor County, IA",4,2,4,1,1,5,
"Union County, IA",4,2,4,1,1,5,
"Van Buren County, IA",6,5,5,1,2,5,
"Wapello County, IA",4,4,5,1,2,4,
"Warren County, IA",4,4,4,1,1,5,
"Washington County, IA",4,5,4,1,1,5,
"Wayne County, IA",4,4,4,1,2,5,
"Webster County, IA",4,5,4,1,1,4,
"Winnebago County, IA",3,5,3,1,1,4,
"Winneshiek County, IA",4,4,3,1,1,4,
"Woodbury County, IA",4,2,4,1,1,4,
"Worth County, IA",3,4,3,1,1,4,
"Wright County, IA",4,5,3,1,1,4,
"Allen County, KS",6,2,8,1,1,5,
"Anderson County, KS",6,4,8,1,1,5,
"Atchison County, KS",4,2,7,1,1,5,
"Barber County, KS",9,4,9,1,1,5,
"Barton County, KS",7,4,8,1,1,5,
"Bourbon County, KS",6,4,8,1,2,5,
"Brown County, KS",6,2,6,1,1,5,
"Butler County, KS",6,2,8,1,1,5,
"Chase County, KS",6,2,8,1,2,5,
"Chautauqua County, KS",7,2,8,1,2,5,
"Cherokee County, KS",6,2,8,1,1,5,
"Cheyenne County, KS",7,2,5,1,1,5,
"Clark County, KS",9,2,8,1,2,5,
"Clay County, KS",6,2,8,1,1,5,
"Cloud County, KS",6,2,8,1,1,5,
"Coffey County, KS",6,2,8,1,2,5,
"Comanche County, KS",7,4,9,1,1,5,
"Cowley County, KS",6,2,8,1,1,5,
"Crawford County, KS",6,4,8,1,1,5,
"Decatur County, KS",6,2,6,1,2,5,
"Dickinson County, KS",7,4,8,1,1,5,
"Doniphan County, KS",4,2,6,1,1,5,
"Douglas County, KS",6,2,8,1,1,5,
"Edwards County, KS",7,4,7,1,1,5,
"Elk County, KS",6,2,8,1,2,5,
"Ellis County, KS",7,2,8,1,2,5,
"Ellsworth County, KS",6,2,8,1,1,5,
"Finney County, KS",7,2,7,1,1,5,
"Ford County, KS",7,2,8,1,2,5,
"Franklin County, KS",6,2,8,1,1,5,
"Geary County, KS",6,2,8,1,2,5,
"Gove County, KS",6,2,7,1,2,5,
"Graham County, KS",7,2,8,1,2,5,
"Grant County, KS",7,2,8,1,1,5,
"Gray County, KS",7,2,7,1,1,5,
"Greeley County, KS",7,2,6,1,2,5,
"Greenwood County, KS",6,2,8,1,3,5,
"Hamilton County, KS",7,2,7,1,2,5,
"Harper County, KS",7,2,9,1,1,5,
"Harvey County, KS",6,2,8,1,1,5,
"Haskell County, KS",7,2,7,1,1,5,
"Hodgeman County, KS",7,2,8,1,2,5,
"Jackson County, KS",6,2,8,1,1,5,
"Jefferson County, KS",4,2,8,1,1,6,
"Jewell County, KS",6,2,8,1,1,5,
"Johnson County, KS",4,2,8,1,2,5,
"Kearny County, KS",7,2,7,1,1,5,
"Kingman County, KS",7,2,8,1,1,5,
"Kiowa County, KS",7,4,8,1,1,5,
"Labette County, KS",6,2,8,1,1,5,
"Lane County, KS",7,2,7,1,1,5,
"Leavenworth County, KS",4,2,8,1,1,5,
"Lincoln County, KS",7,2,8,1,1,5,
"Linn County, KS",6,2,8,1,2,5,
"Logan County, KS",6,2,7,1,2,5,
"Lyon County, KS",6,2,8,1,3,5,
"McPherson County, KS",6,2,8,1,1,5,
"Marion County, KS",6,2,8,1,1,5,
"Marshall County, KS",6,2,8,1,1,5,
"Meade County, KS",7,2,7,1,2,5,
"Miami County, KS",6,2,8,1,2,5,
"Mitchell County, KS",7,2,8,1,1,5,
"Montgomery County, KS",6,2,8,1,2,5,
"Morris County, KS",6,2,8,1,2,5,
"Morton County, KS",7,2,8,1,1,5,
"Nemaha County, KS",6,2,7,1,1,5,
"Neosho County, KS",6,2,8,1,1,5,
"Ness County, KS",7,2,8,1,2,5,
"Norton County, KS",7,2,8,1,2,5,
"Osage County, KS",6,2,8,1,2,6,
"Osborne County, KS",7,2,8,1,2,5,
"Ottawa County, KS",7,4,8,1,1,5,
"Pawnee County, KS",7,4,8,1,1,5,
"Phillips County, KS",7,2,8,1,2,5,
"Pottawatomie County, KS",6,2,8,1,2,5,
"Pratt County, KS",7,4,8,1,1,5,
"Rawlins County, KS",7,2,5,1,2,5,
"Reno County, KS",7,2,8,1,1,5,
"Republic County, KS",6,2,8,1,1,5,
"Rice County, KS",7,2,8,1,1,5,
"Riley County, KS",6,2,8,1,1,5,
"Rooks County, KS",7,2,8,1,2,5,
"Rush County, KS",7,2,8,1,2,5,
"Russell County, KS",7,2,8,1,1,5,
"Saline County, KS",7,4,8,1,1,5,
"Scott County, KS",7,2,8,1,1,5,
"Sedgwick County, KS",7,4,8,1,1,5,
"Seward County, KS",7,2,8,1,1,5,
"Shawnee County, KS",6,2,8,1,1,5,
"Sheridan County, KS",6,2,5,1,2,5,
"Sherman County, KS",6,1,5,1,2,5,
"Smith County, KS",7,2,8,1,1,5,
"Stafford County, KS",7,4,8,1,1,5,
"Stanton County, KS",7,2,8,1,1,5,
"Stevens County, KS",7,2,7,1,1,5,
"Sumner County, KS",7,2,8,1,1,5,
"Thomas County, KS",7,2,5,1,2,5,
"Trego County, KS",7,2,8,1,2,5,
"Wabaunsee County, KS",6,2,8,1,2,5,
"Wallace County, KS",6,2,6,1,2,5,
"Washington County, KS",6,2,8,1,1,5,
"Wichita County, KS",7,2,7,1,1,5,
"Wilson County, KS",6,2,8,1,2,5,
"Woodson County, KS",6,2,8,1,2,5,
"Wyandotte County, KS",6,4,8,1,2,5,
"Adair County, KY",6,6,4,1,1,5,
"Allen County, KY",4,4,5,1,1,5,
"Anderson County, KY",4,5,4,1,1,5,
"Ballard County, KY",6,7,8,1,1,5,
"Barren County, KY",7,7,4,1,1,5,
"Bath County, KY",6,5,3,1,2,5,
"Bell County, KY",4,2,3,1,2,4,
"Boone County, KY",4,5,3,1,1,5,
"Bourbon County, KY",4,4,3,1,1,5,
"Boyd County, KY",3,4,3,1,2,4,
"Boyle County, KY",6,5,3,1,1,5,
"Bracken County, KY",4,4,3,1,1,5,
"Breathitt County, KY",3,2,4,1,2,5,
"Breckinridge County, KY",6,6,4,1,1,5,
"Bullitt County, KY",6,9,4,1,1,5,
"Butler County, KY",6,7,6,1,1,5,
"Caldwell County, KY",6,7,6,1,1,5,
"Calloway County, KY",6,6,7,1,1,5,
"Campbell County, KY",4,5,4,1,1,5,
"Carlisle County, KY",6,7,8,1,1,5,
"Carroll County, KY",6,7,3,1,1,5,
"Carter County, KY",3,4,4,1,2,5,
"Casey County, KY",6,5,3,1,1,5,
"Christian County, KY",6,7,7,1,1,5,
"Clark County, KY",4,5,3,1,1,5,
"Clay County, KY",4,4,4,1,2,5,
"Clinton County, KY",4,4,3,1,1,5,
"Crittenden County, KY",6,7,7,1,1,5,
"Cumberland County, KY",4,4,4,1,1,5,
"Daviess County, KY",6,7,6,1,1,5,
"Edmonson County, KY",7,7,4,1,1,5,
"Elliott County, KY",6,6,5,1,2,5,
"Estill County, KY",4,4,3,1,2,5,
"Fayette County, KY",4,5,3,1,1,5,
"Fleming County, KY",6,5,3,1,1,5,
"Floyd County, KY",3,4,4,1,2,5,
"Franklin County, KY",4,5,4,1,1,5,
"Fulton County, KY",6,6,8,1,1,5,
"Gallatin County, KY",4,6,3,1,1,5,
"Garrard County, KY",4,4,4,1,1,5,
"Grant County, KY",4,5,3,1,1,5,
"Graves County, KY",6,7,8,1,1,5,
"Grayson County, KY",4,4,4,1,1,5,
"Green County, KY",6,6,4,1,1,5,
"Greenup County, KY",4,4,3,1,2,5,
"Hancock County, KY",6,9,5,1,1,5,
"Hardin County, KY",4,5,4,1,1,5,
"Harlan County, KY",4,1,1,1,2,5,
"Harrison County, KY",4,4,4,1,1,5,
"Hart County, KY",4,5,4,1,1,5,
"Henderson County, KY",6,7,6,1,1,5,
"Henry County, KY",6,6,3,1,1,5,
"Hickman County, KY",6,6,8,1,1,5,
"Hopkins County, KY",6,5,7,1,1,5,
"Jackson County, KY",4,4,4,1,2,5,
"Jefferson County, KY",6,9,4,1,1,5,
"Jessamine County, KY",4,5,3,1,1,5,
"Johnson County, KY",3,4,4,1,2,5,
"Kenton County, KY",4,5,5,1,1,5,
"Knott County, KY",3,2,1,1,2,5,
"Knox County, KY",4,4,3,1,2,5,
"Larue County, KY",4,5,4,1,1,5,
"Laurel County, KY",4,4,4,1,2,5,
"Lawrence County, KY",4,4,3,1,2,5,
"Lee County, KY",3,4,3,1,2,5,
"Leslie County, KY",4,4,1,1,2,5,
"Letcher County, KY",3,1,1,1,2,4,
"Lewis County, KY",6,5,3,1,1,5,
"Lincoln County, KY",4,4,3,1,1,5,
"Livingston County, KY",6,7,8,1,1,5,
"Logan County, KY",6,6,6,1,1,5,
"Lyon County, KY",6,7,7,1,1,5,
"McCracken County, KY",6,7,8,1,1,5,
"McCreary County, KY",4,2,3,1,2,5,
"McLean County, KY",6,7,7,1,1,5,
"Madison County, KY",4,4,4,1,2,5,
"Magoffin County, KY",3,2,4,1,2,5,
"Marion County, KY",6,5,4,1,1,5,
"Marshall County, KY",6,7,8,1,1,5,
"Martin County, KY",4,4,1,1,2,4,
"Mason County, KY",4,5,3,1,1,4,
"Meade County, KY",6,6,4,1,1,5,
"Menifee County, KY",6,6,3,1,2,5,
"Mercer County, KY",4,5,4,1,1,5,
"Metcalfe County, KY",6,6,4,1,1,5,
"Monroe County, KY",6,6,4,1,1,5,
"Montgomery County, KY",6,5,4,1,2,5,
"Morgan County, KY",3,4,3,1,2,5,
"Muhlenberg County, KY",6,7,7,1,1,5,
"Nelson County, KY",4,5,5,1,1,5,
"Nicholas County, KY",4,4,4,1,1,5,
"Ohio County, KY",6,6,7,1,1,5,
"Oldham County, KY",6,6,3,1,1,5,
"Owen County, KY",4,5,3,1,1,5,
"Owsley County, KY",3,4,4,1,2,5,
"Pendleton County, KY",4,5,3,1,1,5,
"Perry County, KY",3,2,4,1,2,5,
"Pike County, KY",3,1,3,1,2,5,
"Powell County, KY",6,6,3,1,2,5,
"Pulaski County, KY",4,5,3,1,2,5,
"Robertson County, KY",4,4,4,1,1,5,
"Rockcastle County, KY",4,4,4,1,2,5,
"Rowan County, KY",6,6,3,1,2,5,
"Russell County, KY",4,4,3,1,2,5,
"Scott County, KY",4,5,3,1,1,5,
"Shelby County, KY",6,7,3,1,1,5,
"Simpson County, KY",6,6,5,1,1,5,
"Spencer County, KY",6,9,3,1,1,5,
"Taylor County, KY",6,6,4,1,1,5,
"Todd County, KY",6,7,7,1,1,5,
"Trigg County, KY",6,7,7,1,1,5,
"Trimble County, KY",6,6,3,1,1,5,
"Union County, KY",6,7,6,1,1,5,
"Warren County, KY",6,7,6,1,1,5,
"Washington County, KY",6,5,4,1,1,5,
"Wayne County, KY",4,4,3,1,2,5,
"Webster County, KY",6,7,7,1,1,5,
"Whitley County, KY",4,2,5,1,2,5,
"Wolfe County, KY",3,4,4,1,2,5,
"Woodford County, KY",4,5,3,1,1,5,
"Acadia Parish, LA",6,7,8,4,1,7,
"Allen Parish, LA",7,6,8,1,1,7,
"Ascension Parish, LA",6,9,8,4,2,6,
"Assumption Parish, LA",6,9,7,7,2,9,
"Avoyelles Parish, LA",7,4,8,1,3,6,
"Beauregard Parish, LA",7,10,9,1,1,7,
"Bienville Parish, LA",7,2,10,1,1,5,
"Bossier Parish, LA",9,4,9,1,1,5,
"Caddo Parish, LA",9,4,8,1,1,5,
"Calcasieu Parish, LA",6,10,8,4,1,8,
"Caldwell Parish, LA",9,2,9,1,1,5,
"Cameron Parish, LA",6,10,3,10,1,8,
"Catahoula Parish, LA",9,2,8,1,1,6,
"Claiborne Parish, LA",7,2,9,1,1,5,
"Concordia Parish, LA",7,2,7,1,1,5,
"De Soto Parish, LA",9,4,9,1,1,5,
"East Baton Rouge Parish, LA",7,10,9,3,2,5,
"East Carroll Parish, LA",7,5,6,1,1,5,
"East Feliciana Parish, LA",6,5,8,1,1,7,
"Evangeline Parish, LA",7,7,8,1,1,7,
"Franklin Parish, LA",9,2,8,1,1,5,
"Grant Parish, LA",7,2,9,1,1,5,
"Iberia Parish, LA",6,9,3,4,2,8,
"Iberville Parish, LA",7,9,8,4,2,6,
"Jackson Parish, LA",7,2,1,1,1,5,
"Jefferson Parish, LA",6,7,1,4,2,7,
"Jefferson Davis Parish, LA",7,10,8,4,1,8,
"Lafayette Parish, LA",7,10,8,3,2,7,
"Lafourche Parish, LA",4,9,8,6,2,7,
"LaSalle Parish, LA",7,2,8,1,1,5,
"Lincoln Parish, LA",7,2,9,1,1,5,
"Livingston Parish, LA",7,9,8,6,1,8,
"Madison Parish, LA",7,4,7,1,1,5,
"Morehouse Parish, LA",7,2,7,1,1,5,
"Natchitoches Parish, LA",9,4,8,1,1,5,
"Orleans Parish, LA",6,7,1,4,2,6,
"Ouachita Parish, LA",9,5,8,1,1,5,
"Plaquemines Parish, LA",6,7,1,6,1,5,
"Pointe Coupee Parish, LA",7,10,8,1,3,6,
"Rapides Parish, LA",7,7,8,1,1,5,
"Red River Parish, LA",7,2,8,1,1,5,
"Richland Parish, LA",9,4,8,1,1,5,
"Sabine Parish, LA",9,4,1,1,1,5,
"St. Bernard Parish, LA",4,6,1,7,2,8,
"St. Charles Parish, LA",6,10,1,7,2,5,
"St. Helena Parish, LA",7,6,1,1,1,8,
"St. James Parish, LA",6,10,8,6,2,6,
"St. John the Baptist Parish, LA",6,9,8,6,2,8,
"St. Landry Parish, LA",7,9,8,3,3,7,
"St. Martin Parish, LA",7,10,8,4,3,7,
"St. Mary Parish, LA",4,9,3,7,2,8,
"St. Tammany Parish, LA",6,5,1,4,2,7,
"Tangipahoa Parish, LA",7,7,8,4,1,7,
"Tensas Parish, LA",9,2,7,1,1,6,
"Terrebonne Parish, LA",4,9,1,7,3,8,
"Union Parish, LA",7,4,9,1,1,5,
"Vermilion Parish, LA",6,9,3,6,1,9,
"Vernon Parish, LA",7,4,10,1,1,6,
"Washington Parish, LA",7,6,8,1,1,6,
"Webster Parish, LA",7,4,1,1,1,5,
"West Baton Rouge Parish, LA",7,10,8,1,2,5,
"West Carroll Parish, LA",7,4,7,1,1,5,
"West Feliciana Parish, LA",7,2,9,1,1,6,
"Winn Parish, LA",9,4,1,1,1,5,
"Androscoggin County, ME",3,4,1,1,1,4,
"Aroostook County, ME",3,2,1,1,1,2,
"Cumberland County, ME",3,4,1,4,1,4,
"Franklin County, ME",3,2,1,1,1,2,
"Hancock County, ME",3,4,1,3,1,6,
"Kennebec County, ME",3,4,1,1,1,4,
"Knox County, ME",3,4,1,3,1,4,
"Lincoln County, ME",3,2,1,4,1,2,
"Oxford County, ME",3,4,1,1,1,2,
"Penobscot County, ME",3,4,1,3,1,3,
"Piscataquis County, ME",3,2,1,1,1,1,
"Sagadahoc County, ME",3,5,1,4,1,3,
"Somerset County, ME",3,2,1,1,1,3,
"Waldo County, ME",3,2,1,3,1,3,
"Washington County, ME",3,4,1,4,1,2,
"York County, ME",3,4,1,4,1,4,
"Allegany County, MD",6,2,3,1,2,4,
"Anne Arundel County, MD",4,4,5,3,1,4,
"Baltimore County, MD",4,1,4,3,1,4,
"Calvert County, MD",4,1,4,4,1,4,
"Caroline County, MD",4,4,5,4,1,4,
"Carroll County, MD",3,1,3,1,1,4,
"Cecil County, MD",4,1,4,4,1,4,
"Charles County, MD",4,4,4,4,1,4,
"Dorchester County, MD",4,5,4,7,1,5,
"Frederick County, MD",3,2,4,1,1,4,
"Garrett County, MD",3,2,3,1,2,4,
"Harford County, MD",4,1,4,3,1,4,
"Howard County, MD",4,1,4,1,1,4,
"Kent County, MD",4,4,5,4,1,4,
"Montgomery County, MD",4,4,5,1,1,4,
"Prince George's County, MD",6,2,5,3,1,4,
"Queen Anne's County, MD",4,4,5,4,1,4,
"St. Mary's County, MD",4,4,3,4,1,4,
"Somerset County, MD",4,5,4,7,1,6,
"Talbot County, MD",4,5,4,4,1,5,
"Washington County, MD",4,2,3,1,2,4,
"Wicomico County, MD",4,4,4,4,1,4,
"Worcester County, MD",4,5,4,6,2,6,
"Baltimore city, MD",4,1,1,3,1,4,
"Barnstable County, MA",3,2,1,7,1,4,
"Berkshire County, MA",3,2,1,1,1,4,
"Bristol County, MA",3,2,1,4,1,4,
"Dukes County, MA",3,4,1,4,1,5,
"Essex County, MA",3,5,1,4,1,4,
"Franklin County, MA",3,4,1,1,1,4,
"Hampden County, MA",4,5,1,1,1,4,
"Hampshire County, MA",3,4,1,1,1,4,
"Middlesex County, MA",3,4,1,4,1,4,
"Nantucket County, MA",3,2,1,4,1,6,
"Norfolk County, MA",3,4,1,4,1,4,
"Plymouth County, MA",3,2,1,4,1,4,
"Suffolk County, MA",3,4,1,6,1,5,
"Worcester County, MA",3,4,1,1,1,4,
"Alcona County, MI",3,4,3,1,1,4,
"Alger County, MI",3,1,3,1,1,3,
"Allegan County, MI",3,2,3,1,1,4,
"Alpena County, MI",3,4,3,1,1,4,
